target,role,guide_id,guide_rank,nostim_cells,stim_cells,min_context_cells,total_cells,technical_target_score,counted_in_primary,sequence_status,git_sha,data_sha256,axes_sha256,timestamp,command,method_version
PRKD2,PRIMARY_POSITIVE,PRKD2-1,1,339,335,335,674,278,True,REQUIRES_DESIGN_AND_VALIDATION,2c7e6c09e19305d5db43682471acc64ba146db39,"{""data/external/gse190604/guidecalls.txt.gz"": ""ffd5a3050a69d013ddc09a43fae63642a7659cdb778f78c865e0829207e17b7c"", ""outputs/generalization/near_immune_scores.csv"": ""2f9c94a22d0205ab6bcbdecffcefa9509a8478f893d487eef8b4fc743b97ba75""}",1bbcf56e4c749460f5d6e07648b341bcd28500c059c685bee1a418befeb063b7,2026-07-12T14:56:09.705381-03:00,python scripts/build_prospective_donor_panel.py,prospective_donor_panel_v1
PRKD2,PRIMARY_POSITIVE,PRKD2-2,2,278,302,278,580,278,True,REQUIRES_DESIGN_AND_VALIDATION,2c7e6c09e19305d5db43682471acc64ba146db39,"{""data/external/gse190604/guidecalls.txt.gz"": ""ffd5a3050a69d013ddc09a43fae63642a7659cdb778f78c865e0829207e17b7c"", ""outputs/generalization/near_immune_scores.csv"": ""2f9c94a22d0205ab6bcbdecffcefa9509a8478f893d487eef8b4fc743b97ba75""}",1bbcf56e4c749460f5d6e07648b341bcd28500c059c685bee1a418befeb063b7,2026-07-12T14:56:09.705381-03:00,python scripts/build_prospective_donor_panel.py,prospective_donor_panel_v1
CD27,PRIMARY_POSITIVE,CD27-1,1,475,374,374,849,276,True,REQUIRES_DESIGN_AND_VALIDATION,2c7e6c09e19305d5db43682471acc64ba146db39,"{""data/external/gse190604/guidecalls.txt.gz"": ""ffd5a3050a69d013ddc09a43fae63642a7659cdb778f78c865e0829207e17b7c"", ""outputs/generalization/near_immune_scores.csv"": ""2f9c94a22d0205ab6bcbdecffcefa9509a8478f893d487eef8b4fc743b97ba75""}",1bbcf56e4c749460f5d6e07648b341bcd28500c059c685bee1a418befeb063b7,2026-07-12T14:56:09.705381-03:00,python scripts/build_prospective_donor_panel.py,prospective_donor_panel_v1
CD27,PRIMARY_POSITIVE,CD27-2,2,330,276,276,606,276,True,REQUIRES_DESIGN_AND_VALIDATION,2c7e6c09e19305d5db43682471acc64ba146db39,"{""data/external/gse190604/guidecalls.txt.gz"": ""ffd5a3050a69d013ddc09a43fae63642a7659cdb778f78c865e0829207e17b7c"", ""outputs/generalization/near_immune_scores.csv"": ""2f9c94a22d0205ab6bcbdecffcefa9509a8478f893d487eef8b4fc743b97ba75""}",1bbcf56e4c749460f5d6e07648b341bcd28500c059c685bee1a418befeb063b7,2026-07-12T14:56:09.705381-03:00,python scripts/build_prospective_donor_panel.py,prospective_donor_panel_v1
TRAF3IP2,PRIMARY_POSITIVE,TRAF3IP2-1,1,551,505,505,1056,236,True,REQUIRES_DESIGN_AND_VALIDATION,2c7e6c09e19305d5db43682471acc64ba146db39,"{""data/external/gse190604/guidecalls.txt.gz"": ""ffd5a3050a69d013ddc09a43fae63642a7659cdb778f78c865e0829207e17b7c"", ""outputs/generalization/near_immune_scores.csv"": ""2f9c94a22d0205ab6bcbdecffcefa9509a8478f893d487eef8b4fc743b97ba75""}",1bbcf56e4c749460f5d6e07648b341bcd28500c059c685bee1a418befeb063b7,2026-07-12T14:56:09.705381-03:00,python scripts/build_prospective_donor_panel.py,prospective_donor_panel_v1
TRAF3IP2,PRIMARY_POSITIVE,TRAF3IP2-2,2,236,272,236,508,236,True,REQUIRES_DESIGN_AND_VALIDATION,2c7e6c09e19305d5db43682471acc64ba146db39,"{""data/external/gse190604/guidecalls.txt.gz"": ""ffd5a3050a69d013ddc09a43fae63642a7659cdb778f78c865e0829207e17b7c"", ""outputs/generalization/near_immune_scores.csv"": ""2f9c94a22d0205ab6bcbdecffcefa9509a8478f893d487eef8b4fc743b97ba75""}",1bbcf56e4c749460f5d6e07648b341bcd28500c059c685bee1a418befeb063b7,2026-07-12T14:56:09.705381-03:00,python scripts/build_prospective_donor_panel.py,prospective_donor_panel_v1
PIK3AP1,PRIMARY_POSITIVE,PIK3AP1-2,1,312,300,300,612,227,True,REQUIRES_DESIGN_AND_VALIDATION,2c7e6c09e19305d5db43682471acc64ba146db39,"{""data/external/gse190604/guidecalls.txt.gz"": ""ffd5a3050a69d013ddc09a43fae63642a7659cdb778f78c865e0829207e17b7c"", ""outputs/generalization/near_immune_scores.csv"": ""2f9c94a22d0205ab6bcbdecffcefa9509a8478f893d487eef8b4fc743b97ba75""}",1bbcf56e4c749460f5d6e07648b341bcd28500c059c685bee1a418befeb063b7,2026-07-12T14:56:09.705381-03:00,python scripts/build_prospective_donor_panel.py,prospective_donor_panel_v1
PIK3AP1,PRIMARY_POSITIVE,PIK3AP1-1,2,227,236,227,463,227,True,REQUIRES_DESIGN_AND_VALIDATION,2c7e6c09e19305d5db43682471acc64ba146db39,"{""data/external/gse190604/guidecalls.txt.gz"": ""ffd5a3050a69d013ddc09a43fae63642a7659cdb778f78c865e0829207e17b7c"", ""outputs/generalization/near_immune_scores.csv"": ""2f9c94a22d0205ab6bcbdecffcefa9509a8478f893d487eef8b4fc743b97ba75""}",1bbcf56e4c749460f5d6e07648b341bcd28500c059c685bee1a418befeb063b7,2026-07-12T14:56:09.705381-03:00,python scripts/build_prospective_donor_panel.py,prospective_donor_panel_v1
GRAP,PRIMARY_POSITIVE,GRAP-1,1,325,375,325,700,199,True,REQUIRES_DESIGN_AND_VALIDATION,2c7e6c09e19305d5db43682471acc64ba146db39,"{""data/external/gse190604/guidecalls.txt.gz"": ""ffd5a3050a69d013ddc09a43fae63642a7659cdb778f78c865e0829207e17b7c"", ""outputs/generalization/near_immune_scores.csv"": ""2f9c94a22d0205ab6bcbdecffcefa9509a8478f893d487eef8b4fc743b97ba75""}",1bbcf56e4c749460f5d6e07648b341bcd28500c059c685bee1a418befeb063b7,2026-07-12T14:56:09.705381-03:00,python scripts/build_prospective_donor_panel.py,prospective_donor_panel_v1
GRAP,PRIMARY_POSITIVE,GRAP-2,2,199,206,199,405,199,True,REQUIRES_DESIGN_AND_VALIDATION,2c7e6c09e19305d5db43682471acc64ba146db39,"{""data/external/gse190604/guidecalls.txt.gz"": ""ffd5a3050a69d013ddc09a43fae63642a7659cdb778f78c865e0829207e17b7c"", ""outputs/generalization/near_immune_scores.csv"": ""2f9c94a22d0205ab6bcbdecffcefa9509a8478f893d487eef8b4fc743b97ba75""}",1bbcf56e4c749460f5d6e07648b341bcd28500c059c685bee1a418befeb063b7,2026-07-12T14:56:09.705381-03:00,python scripts/build_prospective_donor_panel.py,prospective_donor_panel_v1
TNFRSF9,PRIMARY_POSITIVE,TNFRSF9-1,1,253,209,209,462,196,True,REQUIRES_DESIGN_AND_VALIDATION,2c7e6c09e19305d5db43682471acc64ba146db39,"{""data/external/gse190604/guidecalls.txt.gz"": ""ffd5a3050a69d013ddc09a43fae63642a7659cdb778f78c865e0829207e17b7c"", ""outputs/generalization/near_immune_scores.csv"": ""2f9c94a22d0205ab6bcbdecffcefa9509a8478f893d487eef8b4fc743b97ba75""}",1bbcf56e4c749460f5d6e07648b341bcd28500c059c685bee1a418befeb063b7,2026-07-12T14:56:09.705381-03:00,python scripts/build_prospective_donor_panel.py,prospective_donor_panel_v1
TNFRSF9,PRIMARY_POSITIVE,TNFRSF9-2,2,213,196,196,409,196,True,REQUIRES_DESIGN_AND_VALIDATION,2c7e6c09e19305d5db43682471acc64ba146db39,"{""data/external/gse190604/guidecalls.txt.gz"": ""ffd5a3050a69d013ddc09a43fae63642a7659cdb778f78c865e0829207e17b7c"", ""outputs/generalization/near_immune_scores.csv"": ""2f9c94a22d0205ab6bcbdecffcefa9509a8478f893d487eef8b4fc743b97ba75""}",1bbcf56e4c749460f5d6e07648b341bcd28500c059c685bee1a418befeb063b7,2026-07-12T14:56:09.705381-03:00,python scripts/build_prospective_donor_panel.py,prospective_donor_panel_v1
IL2RB,PRIMARY_POSITIVE,IL2RB-1,1,228,208,208,436,181,True,REQUIRES_DESIGN_AND_VALIDATION,2c7e6c09e19305d5db43682471acc64ba146db39,"{""data/external/gse190604/guidecalls.txt.gz"": ""ffd5a3050a69d013ddc09a43fae63642a7659cdb778f78c865e0829207e17b7c"", ""outputs/generalization/near_immune_scores.csv"": ""2f9c94a22d0205ab6bcbdecffcefa9509a8478f893d487eef8b4fc743b97ba75""}",1bbcf56e4c749460f5d6e07648b341bcd28500c059c685bee1a418befeb063b7,2026-07-12T14:56:09.705381-03:00,python scripts/build_prospective_donor_panel.py,prospective_donor_panel_v1
IL2RB,PRIMARY_POSITIVE,IL2RB-2,2,181,217,181,398,181,True,REQUIRES_DESIGN_AND_VALIDATION,2c7e6c09e19305d5db43682471acc64ba146db39,"{""data/external/gse190604/guidecalls.txt.gz"": ""ffd5a3050a69d013ddc09a43fae63642a7659cdb778f78c865e0829207e17b7c"", ""outputs/generalization/near_immune_scores.csv"": ""2f9c94a22d0205ab6bcbdecffcefa9509a8478f893d487eef8b4fc743b97ba75""}",1bbcf56e4c749460f5d6e07648b341bcd28500c059c685bee1a418befeb063b7,2026-07-12T14:56:09.705381-03:00,python scripts/build_prospective_donor_panel.py,prospective_donor_panel_v1
IL2RG,PRIMARY_POSITIVE,IL2RG-2,1,273,311,273,584,177,True,REQUIRES_DESIGN_AND_VALIDATION,2c7e6c09e19305d5db43682471acc64ba146db39,"{""data/external/gse190604/guidecalls.txt.gz"": ""ffd5a3050a69d013ddc09a43fae63642a7659cdb778f78c865e0829207e17b7c"", ""outputs/generalization/near_immune_scores.csv"": ""2f9c94a22d0205ab6bcbdecffcefa9509a8478f893d487eef8b4fc743b97ba75""}",1bbcf56e4c749460f5d6e07648b341bcd28500c059c685bee1a418befeb063b7,2026-07-12T14:56:09.705381-03:00,python scripts/build_prospective_donor_panel.py,prospective_donor_panel_v1
IL2RG,PRIMARY_POSITIVE,IL2RG-1,2,207,177,177,384,177,True,REQUIRES_DESIGN_AND_VALIDATION,2c7e6c09e19305d5db43682471acc64ba146db39,"{""data/external/gse190604/guidecalls.txt.gz"": ""ffd5a3050a69d013ddc09a43fae63642a7659cdb778f78c865e0829207e17b7c"", ""outputs/generalization/near_immune_scores.csv"": ""2f9c94a22d0205ab6bcbdecffcefa9509a8478f893d487eef8b4fc743b97ba75""}",1bbcf56e4c749460f5d6e07648b341bcd28500c059c685bee1a418befeb063b7,2026-07-12T14:56:09.705381-03:00,python scripts/build_prospective_donor_panel.py,prospective_donor_panel_v1
ABCB10,MATCHED_NEGATIVE,ABCB10-1,1,96,93,93,189,85,True,REQUIRES_DESIGN_AND_VALIDATION,2c7e6c09e19305d5db43682471acc64ba146db39,"{""data/external/gse190604/guidecalls.txt.gz"": ""ffd5a3050a69d013ddc09a43fae63642a7659cdb778f78c865e0829207e17b7c"", ""outputs/generalization/near_immune_scores.csv"": ""2f9c94a22d0205ab6bcbdecffcefa9509a8478f893d487eef8b4fc743b97ba75""}",1bbcf56e4c749460f5d6e07648b341bcd28500c059c685bee1a418befeb063b7,2026-07-12T14:56:09.705381-03:00,python scripts/build_prospective_donor_panel.py,prospective_donor_panel_v1
ABCB10,MATCHED_NEGATIVE,ABCB10-2,2,85,131,85,216,85,True,REQUIRES_DESIGN_AND_VALIDATION,2c7e6c09e19305d5db43682471acc64ba146db39,"{""data/external/gse190604/guidecalls.txt.gz"": ""ffd5a3050a69d013ddc09a43fae63642a7659cdb778f78c865e0829207e17b7c"", ""outputs/generalization/near_immune_scores.csv"": ""2f9c94a22d0205ab6bcbdecffcefa9509a8478f893d487eef8b4fc743b97ba75""}",1bbcf56e4c749460f5d6e07648b341bcd28500c059c685bee1a418befeb063b7,2026-07-12T14:56:09.705381-03:00,python scripts/build_prospective_donor_panel.py,prospective_donor_panel_v1
APOBEC3C,MATCHED_NEGATIVE,APOBEC3C-1,1,254,232,232,486,83,True,REQUIRES_DESIGN_AND_VALIDATION,2c7e6c09e19305d5db43682471acc64ba146db39,"{""data/external/gse190604/guidecalls.txt.gz"": ""ffd5a3050a69d013ddc09a43fae63642a7659cdb778f78c865e0829207e17b7c"", ""outputs/generalization/near_immune_scores.csv"": ""2f9c94a22d0205ab6bcbdecffcefa9509a8478f893d487eef8b4fc743b97ba75""}",1bbcf56e4c749460f5d6e07648b341bcd28500c059c685bee1a418befeb063b7,2026-07-12T14:56:09.705381-03:00,python scripts/build_prospective_donor_panel.py,prospective_donor_panel_v1
APOBEC3C,MATCHED_NEGATIVE,APOBEC3C-2,2,83,85,83,168,83,True,REQUIRES_DESIGN_AND_VALIDATION,2c7e6c09e19305d5db43682471acc64ba146db39,"{""data/external/gse190604/guidecalls.txt.gz"": ""ffd5a3050a69d013ddc09a43fae63642a7659cdb778f78c865e0829207e17b7c"", ""outputs/generalization/near_immune_scores.csv"": ""2f9c94a22d0205ab6bcbdecffcefa9509a8478f893d487eef8b4fc743b97ba75""}",1bbcf56e4c749460f5d6e07648b341bcd28500c059c685bee1a418befeb063b7,2026-07-12T14:56:09.705381-03:00,python scripts/build_prospective_donor_panel.py,prospective_donor_panel_v1
APOBEC3D,MATCHED_NEGATIVE,APOBEC3D-2,1,187,172,172,359,124,True,REQUIRES_DESIGN_AND_VALIDATION,2c7e6c09e19305d5db43682471acc64ba146db39,"{""data/external/gse190604/guidecalls.txt.gz"": ""ffd5a3050a69d013ddc09a43fae63642a7659cdb778f78c865e0829207e17b7c"", ""outputs/generalization/near_immune_scores.csv"": ""2f9c94a22d0205ab6bcbdecffcefa9509a8478f893d487eef8b4fc743b97ba75""}",1bbcf56e4c749460f5d6e07648b341bcd28500c059c685bee1a418befeb063b7,2026-07-12T14:56:09.705381-03:00,python scripts/build_prospective_donor_panel.py,prospective_donor_panel_v1
APOBEC3D,MATCHED_NEGATIVE,APOBEC3D-1,2,124,131,124,255,124,True,REQUIRES_DESIGN_AND_VALIDATION,2c7e6c09e19305d5db43682471acc64ba146db39,"{""data/external/gse190604/guidecalls.txt.gz"": ""ffd5a3050a69d013ddc09a43fae63642a7659cdb778f78c865e0829207e17b7c"", ""outputs/generalization/near_immune_scores.csv"": ""2f9c94a22d0205ab6bcbdecffcefa9509a8478f893d487eef8b4fc743b97ba75""}",1bbcf56e4c749460f5d6e07648b341bcd28500c059c685bee1a418befeb063b7,2026-07-12T14:56:09.705381-03:00,python scripts/build_prospective_donor_panel.py,prospective_donor_panel_v1
APOL2,MATCHED_NEGATIVE,APOL2-2,1,183,186,183,369,120,True,REQUIRES_DESIGN_AND_VALIDATION,2c7e6c09e19305d5db43682471acc64ba146db39,"{""data/external/gse190604/guidecalls.txt.gz"": ""ffd5a3050a69d013ddc09a43fae63642a7659cdb778f78c865e0829207e17b7c"", ""outputs/generalization/near_immune_scores.csv"": ""2f9c94a22d0205ab6bcbdecffcefa9509a8478f893d487eef8b4fc743b97ba75""}",1bbcf56e4c749460f5d6e07648b341bcd28500c059c685bee1a418befeb063b7,2026-07-12T14:56:09.705381-03:00,python scripts/build_prospective_donor_panel.py,prospective_donor_panel_v1
APOL2,MATCHED_NEGATIVE,APOL2-1,2,135,120,120,255,120,True,REQUIRES_DESIGN_AND_VALIDATION,2c7e6c09e19305d5db43682471acc64ba146db39,"{""data/external/gse190604/guidecalls.txt.gz"": ""ffd5a3050a69d013ddc09a43fae63642a7659cdb778f78c865e0829207e17b7c"", ""outputs/generalization/near_immune_scores.csv"": ""2f9c94a22d0205ab6bcbdecffcefa9509a8478f893d487eef8b4fc743b97ba75""}",1bbcf56e4c749460f5d6e07648b341bcd28500c059c685bee1a418befeb063b7,2026-07-12T14:56:09.705381-03:00,python scripts/build_prospective_donor_panel.py,prospective_donor_panel_v1
BICDL2,MATCHED_NEGATIVE,BICDL2-1,1,298,271,271,569,154,True,REQUIRES_DESIGN_AND_VALIDATION,2c7e6c09e19305d5db43682471acc64ba146db39,"{""data/external/gse190604/guidecalls.txt.gz"": ""ffd5a3050a69d013ddc09a43fae63642a7659cdb778f78c865e0829207e17b7c"", ""outputs/generalization/near_immune_scores.csv"": ""2f9c94a22d0205ab6bcbdecffcefa9509a8478f893d487eef8b4fc743b97ba75""}",1bbcf56e4c749460f5d6e07648b341bcd28500c059c685bee1a418befeb063b7,2026-07-12T14:56:09.705381-03:00,python scripts/build_prospective_donor_panel.py,prospective_donor_panel_v1
BICDL2,MATCHED_NEGATIVE,BICDL2-2,2,154,157,154,311,154,True,REQUIRES_DESIGN_AND_VALIDATION,2c7e6c09e19305d5db43682471acc64ba146db39,"{""data/external/gse190604/guidecalls.txt.gz"": ""ffd5a3050a69d013ddc09a43fae63642a7659cdb778f78c865e0829207e17b7c"", ""outputs/generalization/near_immune_scores.csv"": ""2f9c94a22d0205ab6bcbdecffcefa9509a8478f893d487eef8b4fc743b97ba75""}",1bbcf56e4c749460f5d6e07648b341bcd28500c059c685bee1a418befeb063b7,2026-07-12T14:56:09.705381-03:00,python scripts/build_prospective_donor_panel.py,prospective_donor_panel_v1
