target,role,guide_id,guide_rank,nostim_cells,stim_cells,min_context_cells,total_cells,technical_target_score,counted_in_primary,sequence_status,git_sha,data_sha256,axes_sha256,timestamp,command,method_version
FOSL1,MATCHED_NEGATIVE,FOSL1-1,1,108,89,89,197,70,True,REQUIRES_DESIGN_AND_VALIDATION,2c7e6c09e19305d5db43682471acc64ba146db39,"{""data/external/gse190604/guidecalls.txt.gz"": ""ffd5a3050a69d013ddc09a43fae63642a7659cdb778f78c865e0829207e17b7c"", ""outputs/generalization/near_immune_scores.csv"": ""2f9c94a22d0205ab6bcbdecffcefa9509a8478f893d487eef8b4fc743b97ba75""}",1bbcf56e4c749460f5d6e07648b341bcd28500c059c685bee1a418befeb063b7,2026-07-12T14:56:09.705381-03:00,python scripts/build_prospective_donor_panel.py,prospective_donor_panel_v1
FOSL1,MATCHED_NEGATIVE,FOSL1-2,2,75,70,70,145,70,True,REQUIRES_DESIGN_AND_VALIDATION,2c7e6c09e19305d5db43682471acc64ba146db39,"{""data/external/gse190604/guidecalls.txt.gz"": ""ffd5a3050a69d013ddc09a43fae63642a7659cdb778f78c865e0829207e17b7c"", ""outputs/generalization/near_immune_scores.csv"": ""2f9c94a22d0205ab6bcbdecffcefa9509a8478f893d487eef8b4fc743b97ba75""}",1bbcf56e4c749460f5d6e07648b341bcd28500c059c685bee1a418befeb063b7,2026-07-12T14:56:09.705381-03:00,python scripts/build_prospective_donor_panel.py,prospective_donor_panel_v1
FOXL2NB,MATCHED_NEGATIVE,FOXL2NB-2,1,167,162,162,329,89,True,REQUIRES_DESIGN_AND_VALIDATION,2c7e6c09e19305d5db43682471acc64ba146db39,"{""data/external/gse190604/guidecalls.txt.gz"": ""ffd5a3050a69d013ddc09a43fae63642a7659cdb778f78c865e0829207e17b7c"", ""outputs/generalization/near_immune_scores.csv"": ""2f9c94a22d0205ab6bcbdecffcefa9509a8478f893d487eef8b4fc743b97ba75""}",1bbcf56e4c749460f5d6e07648b341bcd28500c059c685bee1a418befeb063b7,2026-07-12T14:56:09.705381-03:00,python scripts/build_prospective_donor_panel.py,prospective_donor_panel_v1
FOXL2NB,MATCHED_NEGATIVE,FOXL2NB-1,2,89,101,89,190,89,True,REQUIRES_DESIGN_AND_VALIDATION,2c7e6c09e19305d5db43682471acc64ba146db39,"{""data/external/gse190604/guidecalls.txt.gz"": ""ffd5a3050a69d013ddc09a43fae63642a7659cdb778f78c865e0829207e17b7c"", ""outputs/generalization/near_immune_scores.csv"": ""2f9c94a22d0205ab6bcbdecffcefa9509a8478f893d487eef8b4fc743b97ba75""}",1bbcf56e4c749460f5d6e07648b341bcd28500c059c685bee1a418befeb063b7,2026-07-12T14:56:09.705381-03:00,python scripts/build_prospective_donor_panel.py,prospective_donor_panel_v1
INPPL1,MATCHED_NEGATIVE,INPPL1-2,1,142,167,142,309,114,True,REQUIRES_DESIGN_AND_VALIDATION,2c7e6c09e19305d5db43682471acc64ba146db39,"{""data/external/gse190604/guidecalls.txt.gz"": ""ffd5a3050a69d013ddc09a43fae63642a7659cdb778f78c865e0829207e17b7c"", ""outputs/generalization/near_immune_scores.csv"": ""2f9c94a22d0205ab6bcbdecffcefa9509a8478f893d487eef8b4fc743b97ba75""}",1bbcf56e4c749460f5d6e07648b341bcd28500c059c685bee1a418befeb063b7,2026-07-12T14:56:09.705381-03:00,python scripts/build_prospective_donor_panel.py,prospective_donor_panel_v1
INPPL1,MATCHED_NEGATIVE,INPPL1-1,2,138,114,114,252,114,True,REQUIRES_DESIGN_AND_VALIDATION,2c7e6c09e19305d5db43682471acc64ba146db39,"{""data/external/gse190604/guidecalls.txt.gz"": ""ffd5a3050a69d013ddc09a43fae63642a7659cdb778f78c865e0829207e17b7c"", ""outputs/generalization/near_immune_scores.csv"": ""2f9c94a22d0205ab6bcbdecffcefa9509a8478f893d487eef8b4fc743b97ba75""}",1bbcf56e4c749460f5d6e07648b341bcd28500c059c685bee1a418befeb063b7,2026-07-12T14:56:09.705381-03:00,python scripts/build_prospective_donor_panel.py,prospective_donor_panel_v1
LHX4,MATCHED_NEGATIVE,LHX4-1,1,108,94,94,202,54,True,REQUIRES_DESIGN_AND_VALIDATION,2c7e6c09e19305d5db43682471acc64ba146db39,"{""data/external/gse190604/guidecalls.txt.gz"": ""ffd5a3050a69d013ddc09a43fae63642a7659cdb778f78c865e0829207e17b7c"", ""outputs/generalization/near_immune_scores.csv"": ""2f9c94a22d0205ab6bcbdecffcefa9509a8478f893d487eef8b4fc743b97ba75""}",1bbcf56e4c749460f5d6e07648b341bcd28500c059c685bee1a418befeb063b7,2026-07-12T14:56:09.705381-03:00,python scripts/build_prospective_donor_panel.py,prospective_donor_panel_v1
LHX4,MATCHED_NEGATIVE,LHX4-2,2,54,78,54,132,54,True,REQUIRES_DESIGN_AND_VALIDATION,2c7e6c09e19305d5db43682471acc64ba146db39,"{""data/external/gse190604/guidecalls.txt.gz"": ""ffd5a3050a69d013ddc09a43fae63642a7659cdb778f78c865e0829207e17b7c"", ""outputs/generalization/near_immune_scores.csv"": ""2f9c94a22d0205ab6bcbdecffcefa9509a8478f893d487eef8b4fc743b97ba75""}",1bbcf56e4c749460f5d6e07648b341bcd28500c059c685bee1a418befeb063b7,2026-07-12T14:56:09.705381-03:00,python scripts/build_prospective_donor_panel.py,prospective_donor_panel_v1
LTBR,MATCHED_NEGATIVE,LTBR-2,1,273,229,229,502,219,True,REQUIRES_DESIGN_AND_VALIDATION,2c7e6c09e19305d5db43682471acc64ba146db39,"{""data/external/gse190604/guidecalls.txt.gz"": ""ffd5a3050a69d013ddc09a43fae63642a7659cdb778f78c865e0829207e17b7c"", ""outputs/generalization/near_immune_scores.csv"": ""2f9c94a22d0205ab6bcbdecffcefa9509a8478f893d487eef8b4fc743b97ba75""}",1bbcf56e4c749460f5d6e07648b341bcd28500c059c685bee1a418befeb063b7,2026-07-12T14:56:09.705381-03:00,python scripts/build_prospective_donor_panel.py,prospective_donor_panel_v1
LTBR,MATCHED_NEGATIVE,LTBR-1,2,271,219,219,490,219,True,REQUIRES_DESIGN_AND_VALIDATION,2c7e6c09e19305d5db43682471acc64ba146db39,"{""data/external/gse190604/guidecalls.txt.gz"": ""ffd5a3050a69d013ddc09a43fae63642a7659cdb778f78c865e0829207e17b7c"", ""outputs/generalization/near_immune_scores.csv"": ""2f9c94a22d0205ab6bcbdecffcefa9509a8478f893d487eef8b4fc743b97ba75""}",1bbcf56e4c749460f5d6e07648b341bcd28500c059c685bee1a418befeb063b7,2026-07-12T14:56:09.705381-03:00,python scripts/build_prospective_donor_panel.py,prospective_donor_panel_v1
MUC1,MATCHED_NEGATIVE,MUC1-1,1,306,331,306,637,170,True,REQUIRES_DESIGN_AND_VALIDATION,2c7e6c09e19305d5db43682471acc64ba146db39,"{""data/external/gse190604/guidecalls.txt.gz"": ""ffd5a3050a69d013ddc09a43fae63642a7659cdb778f78c865e0829207e17b7c"", ""outputs/generalization/near_immune_scores.csv"": ""2f9c94a22d0205ab6bcbdecffcefa9509a8478f893d487eef8b4fc743b97ba75""}",1bbcf56e4c749460f5d6e07648b341bcd28500c059c685bee1a418befeb063b7,2026-07-12T14:56:09.705381-03:00,python scripts/build_prospective_donor_panel.py,prospective_donor_panel_v1
MUC1,MATCHED_NEGATIVE,MUC1-2,2,170,222,170,392,170,True,REQUIRES_DESIGN_AND_VALIDATION,2c7e6c09e19305d5db43682471acc64ba146db39,"{""data/external/gse190604/guidecalls.txt.gz"": ""ffd5a3050a69d013ddc09a43fae63642a7659cdb778f78c865e0829207e17b7c"", ""outputs/generalization/near_immune_scores.csv"": ""2f9c94a22d0205ab6bcbdecffcefa9509a8478f893d487eef8b4fc743b97ba75""}",1bbcf56e4c749460f5d6e07648b341bcd28500c059c685bee1a418befeb063b7,2026-07-12T14:56:09.705381-03:00,python scripts/build_prospective_donor_panel.py,prospective_donor_panel_v1
OTUD7B,MATCHED_NEGATIVE,OTUD7B-1,1,141,138,138,279,122,True,REQUIRES_DESIGN_AND_VALIDATION,2c7e6c09e19305d5db43682471acc64ba146db39,"{""data/external/gse190604/guidecalls.txt.gz"": ""ffd5a3050a69d013ddc09a43fae63642a7659cdb778f78c865e0829207e17b7c"", ""outputs/generalization/near_immune_scores.csv"": ""2f9c94a22d0205ab6bcbdecffcefa9509a8478f893d487eef8b4fc743b97ba75""}",1bbcf56e4c749460f5d6e07648b341bcd28500c059c685bee1a418befeb063b7,2026-07-12T14:56:09.705381-03:00,python scripts/build_prospective_donor_panel.py,prospective_donor_panel_v1
OTUD7B,MATCHED_NEGATIVE,OTUD7B-2,2,126,122,122,248,122,True,REQUIRES_DESIGN_AND_VALIDATION,2c7e6c09e19305d5db43682471acc64ba146db39,"{""data/external/gse190604/guidecalls.txt.gz"": ""ffd5a3050a69d013ddc09a43fae63642a7659cdb778f78c865e0829207e17b7c"", ""outputs/generalization/near_immune_scores.csv"": ""2f9c94a22d0205ab6bcbdecffcefa9509a8478f893d487eef8b4fc743b97ba75""}",1bbcf56e4c749460f5d6e07648b341bcd28500c059c685bee1a418befeb063b7,2026-07-12T14:56:09.705381-03:00,python scripts/build_prospective_donor_panel.py,prospective_donor_panel_v1
PAPOLG,MATCHED_NEGATIVE,PAPOLG-2,1,176,170,170,346,59,True,REQUIRES_DESIGN_AND_VALIDATION,2c7e6c09e19305d5db43682471acc64ba146db39,"{""data/external/gse190604/guidecalls.txt.gz"": ""ffd5a3050a69d013ddc09a43fae63642a7659cdb778f78c865e0829207e17b7c"", ""outputs/generalization/near_immune_scores.csv"": ""2f9c94a22d0205ab6bcbdecffcefa9509a8478f893d487eef8b4fc743b97ba75""}",1bbcf56e4c749460f5d6e07648b341bcd28500c059c685bee1a418befeb063b7,2026-07-12T14:56:09.705381-03:00,python scripts/build_prospective_donor_panel.py,prospective_donor_panel_v1
PAPOLG,MATCHED_NEGATIVE,PAPOLG-1,2,97,59,59,156,59,True,REQUIRES_DESIGN_AND_VALIDATION,2c7e6c09e19305d5db43682471acc64ba146db39,"{""data/external/gse190604/guidecalls.txt.gz"": ""ffd5a3050a69d013ddc09a43fae63642a7659cdb778f78c865e0829207e17b7c"", ""outputs/generalization/near_immune_scores.csv"": ""2f9c94a22d0205ab6bcbdecffcefa9509a8478f893d487eef8b4fc743b97ba75""}",1bbcf56e4c749460f5d6e07648b341bcd28500c059c685bee1a418befeb063b7,2026-07-12T14:56:09.705381-03:00,python scripts/build_prospective_donor_panel.py,prospective_donor_panel_v1
SLA2,MATCHED_NEGATIVE,SLA2-1,1,158,197,158,355,158,True,REQUIRES_DESIGN_AND_VALIDATION,2c7e6c09e19305d5db43682471acc64ba146db39,"{""data/external/gse190604/guidecalls.txt.gz"": ""ffd5a3050a69d013ddc09a43fae63642a7659cdb778f78c865e0829207e17b7c"", ""outputs/generalization/near_immune_scores.csv"": ""2f9c94a22d0205ab6bcbdecffcefa9509a8478f893d487eef8b4fc743b97ba75""}",1bbcf56e4c749460f5d6e07648b341bcd28500c059c685bee1a418befeb063b7,2026-07-12T14:56:09.705381-03:00,python scripts/build_prospective_donor_panel.py,prospective_donor_panel_v1
SLA2,MATCHED_NEGATIVE,SLA2-2,2,158,190,158,348,158,True,REQUIRES_DESIGN_AND_VALIDATION,2c7e6c09e19305d5db43682471acc64ba146db39,"{""data/external/gse190604/guidecalls.txt.gz"": ""ffd5a3050a69d013ddc09a43fae63642a7659cdb778f78c865e0829207e17b7c"", ""outputs/generalization/near_immune_scores.csv"": ""2f9c94a22d0205ab6bcbdecffcefa9509a8478f893d487eef8b4fc743b97ba75""}",1bbcf56e4c749460f5d6e07648b341bcd28500c059c685bee1a418befeb063b7,2026-07-12T14:56:09.705381-03:00,python scripts/build_prospective_donor_panel.py,prospective_donor_panel_v1
TNFRSF1B,MATCHED_NEGATIVE,TNFRSF1B-2,1,440,357,357,797,241,True,REQUIRES_DESIGN_AND_VALIDATION,2c7e6c09e19305d5db43682471acc64ba146db39,"{""data/external/gse190604/guidecalls.txt.gz"": ""ffd5a3050a69d013ddc09a43fae63642a7659cdb778f78c865e0829207e17b7c"", ""outputs/generalization/near_immune_scores.csv"": ""2f9c94a22d0205ab6bcbdecffcefa9509a8478f893d487eef8b4fc743b97ba75""}",1bbcf56e4c749460f5d6e07648b341bcd28500c059c685bee1a418befeb063b7,2026-07-12T14:56:09.705381-03:00,python scripts/build_prospective_donor_panel.py,prospective_donor_panel_v1
TNFRSF1B,MATCHED_NEGATIVE,TNFRSF1B-1,2,306,241,241,547,241,True,REQUIRES_DESIGN_AND_VALIDATION,2c7e6c09e19305d5db43682471acc64ba146db39,"{""data/external/gse190604/guidecalls.txt.gz"": ""ffd5a3050a69d013ddc09a43fae63642a7659cdb778f78c865e0829207e17b7c"", ""outputs/generalization/near_immune_scores.csv"": ""2f9c94a22d0205ab6bcbdecffcefa9509a8478f893d487eef8b4fc743b97ba75""}",1bbcf56e4c749460f5d6e07648b341bcd28500c059c685bee1a418befeb063b7,2026-07-12T14:56:09.705381-03:00,python scripts/build_prospective_donor_panel.py,prospective_donor_panel_v1
GATA3,MECHANISTIC_SENTINEL,GATA3-2,1,80,79,79,159,74,False,REQUIRES_DESIGN_AND_VALIDATION,2c7e6c09e19305d5db43682471acc64ba146db39,"{""data/external/gse190604/guidecalls.txt.gz"": ""ffd5a3050a69d013ddc09a43fae63642a7659cdb778f78c865e0829207e17b7c"", ""outputs/generalization/near_immune_scores.csv"": ""2f9c94a22d0205ab6bcbdecffcefa9509a8478f893d487eef8b4fc743b97ba75""}",1bbcf56e4c749460f5d6e07648b341bcd28500c059c685bee1a418befeb063b7,2026-07-12T14:56:09.705381-03:00,python scripts/build_prospective_donor_panel.py,prospective_donor_panel_v1
GATA3,MECHANISTIC_SENTINEL,GATA3-1,2,74,126,74,200,74,False,REQUIRES_DESIGN_AND_VALIDATION,2c7e6c09e19305d5db43682471acc64ba146db39,"{""data/external/gse190604/guidecalls.txt.gz"": ""ffd5a3050a69d013ddc09a43fae63642a7659cdb778f78c865e0829207e17b7c"", ""outputs/generalization/near_immune_scores.csv"": ""2f9c94a22d0205ab6bcbdecffcefa9509a8478f893d487eef8b4fc743b97ba75""}",1bbcf56e4c749460f5d6e07648b341bcd28500c059c685bee1a418befeb063b7,2026-07-12T14:56:09.705381-03:00,python scripts/build_prospective_donor_panel.py,prospective_donor_panel_v1
TBX21,MECHANISTIC_SENTINEL,TBX21-1,1,239,243,239,482,140,False,REQUIRES_DESIGN_AND_VALIDATION,2c7e6c09e19305d5db43682471acc64ba146db39,"{""data/external/gse190604/guidecalls.txt.gz"": ""ffd5a3050a69d013ddc09a43fae63642a7659cdb778f78c865e0829207e17b7c"", ""outputs/generalization/near_immune_scores.csv"": ""2f9c94a22d0205ab6bcbdecffcefa9509a8478f893d487eef8b4fc743b97ba75""}",1bbcf56e4c749460f5d6e07648b341bcd28500c059c685bee1a418befeb063b7,2026-07-12T14:56:09.705381-03:00,python scripts/build_prospective_donor_panel.py,prospective_donor_panel_v1
TBX21,MECHANISTIC_SENTINEL,TBX21-2,2,140,148,140,288,140,False,REQUIRES_DESIGN_AND_VALIDATION,2c7e6c09e19305d5db43682471acc64ba146db39,"{""data/external/gse190604/guidecalls.txt.gz"": ""ffd5a3050a69d013ddc09a43fae63642a7659cdb778f78c865e0829207e17b7c"", ""outputs/generalization/near_immune_scores.csv"": ""2f9c94a22d0205ab6bcbdecffcefa9509a8478f893d487eef8b4fc743b97ba75""}",1bbcf56e4c749460f5d6e07648b341bcd28500c059c685bee1a418befeb063b7,2026-07-12T14:56:09.705381-03:00,python scripts/build_prospective_donor_panel.py,prospective_donor_panel_v1
NO-TARGET,NON_TARGET_CONTROL,NO-TARGET-3,1,363,366,363,729,267,False,REQUIRES_DESIGN_AND_VALIDATION,2c7e6c09e19305d5db43682471acc64ba146db39,"{""data/external/gse190604/guidecalls.txt.gz"": ""ffd5a3050a69d013ddc09a43fae63642a7659cdb778f78c865e0829207e17b7c"", ""outputs/generalization/near_immune_scores.csv"": ""2f9c94a22d0205ab6bcbdecffcefa9509a8478f893d487eef8b4fc743b97ba75""}",1bbcf56e4c749460f5d6e07648b341bcd28500c059c685bee1a418befeb063b7,2026-07-12T14:56:09.705381-03:00,python scripts/build_prospective_donor_panel.py,prospective_donor_panel_v1
NO-TARGET,NON_TARGET_CONTROL,NO-TARGET-1,2,314,319,314,633,267,False,REQUIRES_DESIGN_AND_VALIDATION,2c7e6c09e19305d5db43682471acc64ba146db39,"{""data/external/gse190604/guidecalls.txt.gz"": ""ffd5a3050a69d013ddc09a43fae63642a7659cdb778f78c865e0829207e17b7c"", ""outputs/generalization/near_immune_scores.csv"": ""2f9c94a22d0205ab6bcbdecffcefa9509a8478f893d487eef8b4fc743b97ba75""}",1bbcf56e4c749460f5d6e07648b341bcd28500c059c685bee1a418befeb063b7,2026-07-12T14:56:09.705381-03:00,python scripts/build_prospective_donor_panel.py,prospective_donor_panel_v1
NO-TARGET,NON_TARGET_CONTROL,NO-TARGET-4,3,269,285,269,554,267,False,REQUIRES_DESIGN_AND_VALIDATION,2c7e6c09e19305d5db43682471acc64ba146db39,"{""data/external/gse190604/guidecalls.txt.gz"": ""ffd5a3050a69d013ddc09a43fae63642a7659cdb778f78c865e0829207e17b7c"", ""outputs/generalization/near_immune_scores.csv"": ""2f9c94a22d0205ab6bcbdecffcefa9509a8478f893d487eef8b4fc743b97ba75""}",1bbcf56e4c749460f5d6e07648b341bcd28500c059c685bee1a418befeb063b7,2026-07-12T14:56:09.705381-03:00,python scripts/build_prospective_donor_panel.py,prospective_donor_panel_v1
NO-TARGET,NON_TARGET_CONTROL,NO-TARGET-5,4,298,267,267,565,267,False,REQUIRES_DESIGN_AND_VALIDATION,2c7e6c09e19305d5db43682471acc64ba146db39,"{""data/external/gse190604/guidecalls.txt.gz"": ""ffd5a3050a69d013ddc09a43fae63642a7659cdb778f78c865e0829207e17b7c"", ""outputs/generalization/near_immune_scores.csv"": ""2f9c94a22d0205ab6bcbdecffcefa9509a8478f893d487eef8b4fc743b97ba75""}",1bbcf56e4c749460f5d6e07648b341bcd28500c059c685bee1a418befeb063b7,2026-07-12T14:56:09.705381-03:00,python scripts/build_prospective_donor_panel.py,prospective_donor_panel_v1
